id;interface_code;interface_name;data_prov_ids;data_prov_names;big_interface;local_path;provide_path;interface_desc;del_flag;create_time;create_by_id;create_by_name;create_by_org_id;create_by_org_name;last_up_time;last_up_id;last_up_name
1;B2B Cotton;Product;Shirt invoice;Practical Frozen Shirt Syrian Pound;focus group clear-thinking;invoice New Mexico;task-force indexing Licensed Fresh Pizza;users bus Steel;true;2020-08-27T12:12:40;Zloty;Home;Avenue override;customized;2020-08-27T20:19:29;Solomon Islands Dollar Officer;copying Orchestrator Serbian Dinar
2;Pennsylvania world-class target;New Zealand Dollar;Handmade firmware;invoice;Mobility;adapter calculate;Dynamic haptic empowering;Handmade Wooden Cheese incentivize;false;2020-08-28T01:42:31;Mauritius;cross-platform transmit matrix;parsing TCP;Specialist;2020-08-27T14:27:46;payment granular;Electronics schemas navigate
3;feed;SQL;Cambridgeshire scalable;PNG Synergistic Grocery;Avon;Baby eyeballs;Egyptian Pound New Jersey;transmitting Small;true;2020-08-27T13:30:59;matrices multi-state matrix;challenge;Station green Ball;scalable;2020-08-27T17:53:12;redefine;Lead
4;Savings Account backing up;Assistant;Mississippi bandwidth Shoes;Fantastic;Drive Shoes;Bike;Rupiah;Lodge Pizza;true;2020-08-27T10:39:07;Usability Moldova Pa'anga;object-oriented;experiences;Belize Dollar Industrial encryption;2020-08-28T02:43:58;utilisation;digital parsing Handcrafted Plastic Chair
5;Practical Metal Shirt blue Cambridgeshir;Louisiana bluetooth invoice;fault-tolerant;Home Loan Account strategize;Curve payment Research;Home Loan Account Engineer Program;Credit Card Account Home;override;false;2020-08-27T23:49:10;silver Table;Operations convergence Corporate;seize Small Plastic Shirt Illinois;primary;2020-08-27T08:48:51;District;Streets dynamic synthesize
6;Director Plains online;6th generation Markets;implement invoice synergize;Creative indigo concept;digital;calculating Chips;compress;Borders;true;2020-08-27T10:01:55;Georgia orchid Borders;Checking Account Investment Account;JSON;sky blue;2020-08-27T18:53:42;Hawaii;Mouse
7;holistic HDD;United States Minor Outlying Islands Generic withdrawal;Technician;Nebraska;Senior;Applications multi-byte;Toys maroon;Kansas copying gold;false;2020-08-27T16:35:25;Synergized deposit Table;Cambridgeshire;even-keeled benchmark green;haptic;2020-08-28T01:22:08;toolset Assistant;frame
8;optimizing Soap;Central sexy content-based;Viaduct;recontextualize;Liaison Sleek index;Pizza Ergonomic;deposit deposit;Intelligent Assistant;true;2020-08-27T09:18:19;communities Internal cross-platform;parse;Avon;District Bedfordshire Unbranded;2020-08-27T16:04:40;Maryland FTP;reboot matrices
9;Buckinghamshire Profound e-services;envisioneer Square;Electronics system;Savings Account;Regional bypass Senior;red Jewelery;generating Beauty;Rubber initiatives Borders;false;2020-08-27T09:21:25;Practical;programming harness Angola;hack;transmitting;2020-08-27T11:40:23;Personal Loan Account copying;JBOD withdrawal
10;connecting;override Planner;Direct;engineer;Cambridgeshire Palau Buckinghamshire;Engineer;transparent SDR Global;Customer online;false;2020-08-28T06:48:57;violet extensible methodologies;index;Nepalese Rupee;experiences Integrated;2020-08-27T07:28:27;RAM systematic;Reduced Rubber
